Column_Name,Raw_Data_Type,Cleaned_Data_Type,Null_Count,Null_Percentage,Unique_Values,Example_Value,Validation_Status
instant,int64,int64,0,0.0,17379,1,PASSED
dteday,str,datetime64[us],0,0.0,731,2011-01-01,PASSED
season,int64,int64,0,0.0,4,1,PASSED
yr,int64,int64,0,0.0,2,0,PASSED
mnth,int64,int64,0,0.0,12,1,PASSED
hr,int64,int64,0,0.0,24,0,PASSED
holiday,int64,int64,0,0.0,2,0,PASSED
weekday,int64,int64,0,0.0,7,6,PASSED
workingday,int64,int64,0,0.0,2,0,PASSED
weathersit,int64,int64,0,0.0,4,1,PASSED
temp,float64,float64,0,0.0,50,0.24,PASSED
atemp,float64,float64,0,0.0,65,0.2879,PASSED
hum,float64,float64,0,0.0,89,0.81,PASSED
windspeed,float64,float64,0,0.0,30,0.0,PASSED
casual,int64,int64,0,0.0,322,3,PASSED
registered,int64,int64,0,0.0,776,13,PASSED
cnt,int64,int64,0,0.0,869,16,PASSED
season_name,N/A (Engineered),str,0,0.0,4,Spring,ENGINEERED
year,N/A (Engineered),int64,0,0.0,2,2011,ENGINEERED
month_name,N/A (Engineered),str,0,0.0,12,January,ENGINEERED
day_of_week,N/A (Engineered),str,0,0.0,7,Saturday,ENGINEERED
weather_description,N/A (Engineered),str,0,0.0,4,Clear / Few Clouds,ENGINEERED
hour_group,N/A (Engineered),str,0,0.0,5,Early Morning / Night (00-05),ENGINEERED
temp_celsius,N/A (Engineered),float64,0,0.0,50,9.84,ENGINEERED
atemp_celsius,N/A (Engineered),float64,0,0.0,65,14.4,ENGINEERED
humidity_pct,N/A (Engineered),float64,0,0.0,89,81.0,ENGINEERED
windspeed_kmh,N/A (Engineered),float64,0,0.0,30,0.0,ENGINEERED
